Year ,CN_NaturalGasPrice,US_NaturalGasPrice,US_NGCons_millCubicFeet,,
1990,1.05,6.11,19.17,,
1991,0.89,6.22,19.56,,
1992,0.98,6.28,20.23,,
1993,1.69,6.67,20.79,,
1994,1.45,6.89,21.25,,
1995,0.89,6.58,22.21,,
1996,1.12,6.97,22.61,,
1997,1.36,7.45,22.74,,
1998,1.42,7.45,22.25,,
1999,2.00,7.34,22.41,,
2000,3.75,8.51,23.33,,
2001,3.61,9.91,22.24,,
2002,2.57,8.58,23.03,,
2003,4.83,10.62,22.28,,
2004,5.03,11.64,22.4,,
2005,7.25,13.72,22.01,,
2006,5.83,14.16,21.7,,
2007,6.17,14.23,23.1,,
2008,7.99,15.76,23.28,,
2009,3.38,10.78,22.91,,
2010,3.69,12.91,24.09,,
2011,3.48,12.57,24.48,,
2012,2.27,12.03,25.54,,
2013,2.93,12.15,26.16,,
2014,3.87,12.95,26.59,,
2015,2.01,,27.24,,
